OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape
158594,160155,FS-388075,FED,FS-FIRESTAT,FS,USWACOF,Colville National Forest,0621,Colville National Forest,35,,0379,TOGO,WA-COF-003,Togo,WA4896411838920030815,TOGO MOUNTAIN,,2003,2452866.5,227,1200,1.0,Lightning,2452891.5,252.0,1800,5285.0,G,48.95305556,-118.40555556,5.0,USFS,WA,,,,b'\x00\x01\xad\x10\x00\x00L\xbaN\x9f\xf4\x99]\xc0P\xbc~\xb9\xfdyH@L\xbaN\x9f\xf4\x99]\xc0P\xbc~\xb9\xfdyH@|\x01\x00\x00\x00L\xbaN\x9f\xf4\x99]\xc0P\xbc~\xb9\xfdyH@\xfe'
158701,160263,FS-388185,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,0507,Los Padres National Forest,38,,AXE7,PIRU,CA-LPF-2142,PIRU,CA3448011886120031023,PIRU,,2003,2452935.5,296,1235,2.0,Equipment Use,2452943.5,304.0,1800,63720.0,G,34.4875,-118.75888889,13.0,STATE OR PRIVATE,CA,,,,b'\x00\x01\xad\x10\x00\x00@\xf6\xb4\xa2\x91\xb0]\xc0pffff>A@@\xf6\xb4\xa2\x91\xb0]\xc0pffff>A@|\x01\x00\x00\x00@\xf6\xb4\xa2\x91\xb0]\xc0pffff>A@\xfe'
158815,160378,FS-388304,FED,FS-FIRESTAT,FS,USORDEF,Deschutes National Forest,0601,Deschutes National Forest,45,,3727,DAVIS FIRE     0345,OR-DEF-345,Davis Fire,OR4360412179420030628,DAVIS,,2003,2452818.5,179,1529,8.0,Children,2452943.5,304.0,1630,21135.0,G,43.58527778,-121.85638889,5.0,USFS,OR,,,,b'\x00\x01\xad\x10\x00\x00H\xcdX\x13\xcfv^\xc0\x80\x16\xdea\xea\xcaE@H\xcdX\x13\xcfv^\xc0\x80\x16\xdea\xea\xcaE@|\x01\x00\x00\x00H\xcdX\x13\xcfv^\xc0\x80\x16\xdea\xea\xcaE@\xfe'
158949,160513,FS-388442,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0105,Clearwater National Forest,49,,8522,BEAVER LAKES,ID-CWF-000049,BEAVER LAKES COMPLEX,ID4656511442320030808,BEAVER LAKE COMPLEX  (BEAVER LAKES),BEAVER LAKES COMPLEX,2003,2452859.5,220,1802,1.0,Lightning,2452941.5,302.0,1100,12467.0,G,46.55666667,-114.43,5.0,USFS,ID,49,049,Idaho,b'\x00\x01\xad\x10\x00\x00\xe8Q\xb8\x1e\x85\x9b\\\xc006{\xda@GG@\xe8Q\xb8\x1e\x85\x9b\\\xc006{\xda@GG@|\x01\x00\x00\x00\xe8Q\xb8\x1e\x85\x9b\\\xc006{\xda@GG@\xfe'
159031,160595,FS-388524,FED,FS-FIRESTAT,FS,USMTFNF,Flathead National Forest,0110,Flathead National Forest,92,,4446,CRAZY HORSE,MT-FNF-092,Crazy Horse,MT4743511379720030810,CRAZY HORSE,,2003,2452861.5,222,1330,1.0,Lightning,2452929.5,290.0,0930,11300.0,G,47.41916667,-113.83194444,5.0,USFS,MT,,,,b'\x00\x01\xad\x10\x00\x00\xe4x\xe4\x93>u\\\xc0\x98\x9c\xe1@\xa7\xb5G@\xe4x\xe4\x93>u\\\xc0\x98\x9c\xe1@\xa7\xb5G@|\x01\x00\x00\x00\xe4x\xe4\x93>u\\\xc0\x98\x9c\xe1@\xa7\xb5G@\xfe'
159081,160645,FS-388576,FED,FS-FIRESTAT,FS,USSDBKF,Black Hills National Forest,0203,Black Hills National Forest,32,,0478,RED POINT,SD-BKF-000192,RED POINT,SD4363210404820030721,RED POINT,,2003,2452841.5,202,1740,1.0,Lightning,2452850.5,211.0,1800,17568.0,G,43.61472222,-104.005,13.0,STATE OR PRIVATE,SD,,,,b'\x00\x01\xad\x10\x00\x00\xb4\x1e\x85\xebQ\x00Z\xc0(\x83\xbb7\xaf\xceE@\xb4\x1e\x85\xebQ\x00Z\xc0(\x83\xbb7\xaf\xceE@|\x01\x00\x00\x00\xb4\x1e\x85\xebQ\x00Z\xc0(\x83\xbb7\xaf\xceE@\xfe'
159085,160649,FS-388580,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,213,,8527,PETTIBONE CREEK,ID-CWF-000062,Cayuse Lake Complex,ID4604911480020030821,CAYUSE LAKE COMPLEX (PETTIBONE CREEK),CAYUSE LAKE COMPLEX,2003,2452872.5,233,1530,1.0,Lightning,2452967.5,328.0,0900,11833.0,G,46.0525,-114.83361111,5.0,USFS,ID,49,049,Idaho,b'\x00\x01\xad\x10\x00\x00\x10\xc2i\xe2Y\xb5\\\xc0(\x85\xebQ\xb8\x06G@\x10\xc2i\xe2Y\xb5\\\xc0(\x85\xebQ\xb8\x06G@|\x01\x00\x00\x00\x10\xc2i\xe2Y\xb5\\\xc0(\x85\xebQ\xb8\x06G@\xfe'
159086,160650,FS-388581,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,14,,8729,SLIMS,ID-NPF-000014,Slims Complex,ID4599911526820030715,SLIM'S COMPLEX (SLIM'S),SLIMS COMPLEX,2003,2452835.5,196,1914,1.0,Lightning,2452967.5,328.0,0900,12011.0,G,46.02472222,-115.2925,5.0,USFS,ID,49,049,Idaho,b'\x00\x01\xad\x10\x00\x00\x1c\x85\xebQ\xb8\xd2\\\xc0@1\x03\x19*\x03G@\x1c\x85\xebQ\xb8\xd2\\\xc0@1\x03\x19*\x03G@|\x01\x00\x00\x00\x1c\x85\xebQ\xb8\xd2\\\xc0@1\x03\x19*\x03G@\xfe'
159199,160763,FS-388694,FED,FS-FIRESTAT,FS,USAZTNF,Tonto National Forest,0312,Tonto National Forest,61,,8626,PICTURE,AZ-TNF-097,Picture,AZ3397311111720030617,PICTURE,,2003,2452807.5,168,0630,4.0,Campfire,2452822.5,183.0,1800,12900.0,G,33.93361111,-111.15138889,5.0,USFS,AZ,,,,b'\x00\x01\xad\x10\x00\x00\xc4\xe1\x06[\xb0\xc9[\xc0\xf8P\xa0\x91\x80\xf7@@\xc4\xe1\x06[\xb0\xc9[\xc0\xf8P\xa0\x91\x80\xf7@@|\x01\x00\x00\x00\xc4\xe1\x06[\xb0\xc9[\xc0\xf8P\xa0\x91\x80\xf7@@\xfe'
159763,161331,FS-389280,FED,FS-FIRESTAT,FS,USORDEF,Deschutes National Forest,0601,Deschutes National Forest,138,,3789,BOOTH  0848,OR-DEF-848,B & B Complex,OR4451112177120030819,B&B COMPLEX (BOOTH),B & B COMPLEX,2003,2452870.5,231,1523,1.0,Lightning,2452947.5,308.0,1800,79734.0,G,44.435,-121.83111111,5.0,USFS,OR,,,,b'\x00\x01\xad\x10\x00\x00\xb42\xa7\xec0u^\xc0P\xe1z\x14\xae7F@\xb42\xa7\xec0u^\xc0P\xe1z\x14\xae7F@|\x01\x00\x00\x00\xb42\xa7\xec0u^\xc0P\xe1z\x14\xae7F@\xfe'
159785,161353,FS-389303,FED,FS-FIRESTAT,FS,USORDEF,Deschutes National Forest,0601,Deschutes National Forest,137,,3789,BEAR BUTTE,OR-DEF-847,BEAR BUTTE,OR4451112177120030819,B&B COMPLEX (BOOTH),B & B COMPLEX,2003,2452870.5,231,1309,1.0,Lightning,2452947.5,308.0,1800,11035.0,G,44.63638889,-121.75861111,5.0,USFS,OR,,,,b'\x00\x01\xad\x10\x00\x00@\xf5\x9c\x15\x8dp^\xc0@\x0b\xef0uQF@@\xf5\x9c\x15\x8dp^\xc0@\x0b\xef0uQF@|\x01\x00\x00\x00@\xf5\x9c\x15\x8dp^\xc0@\x0b\xef0uQF@\xfe'
159883,161452,FS-389413,FED,FS-FIRESTAT,FS,USMTBDF,Beaverhead/Deerlodge National Forest,0102,Beaverhead-Deerlodge National Forest,52,,0305,MUSSIGBROD,MT-BDF-117,Mussigbrod Complex,MT4589911360920000731,MUSSIGBROD COMPLEX (MUSSIGBROD),VALLEY COMPLEX,2000,2451756.5,213,1830,1.0,Lightning,2451847.5,304.0,1000,46681.0,G,45.84194444,-113.3175,5.0,USFS,MT,,,,b'\x00\x01\xad\x10\x00\x00\xb4\x1e\x85\xebQT\\\xc0\xb8l\xdd\xd5\xc4\xebF@\xb4\x1e\x85\xebQT\\\xc0\xb8l\xdd\xd5\xc4\xebF@|\x01\x00\x00\x00\xb4\x1e\x85\xebQT\\\xc0\xb8l\xdd\xd5\xc4\xebF@\xfe'
159898,161468,FS-389429,FED,FS-FIRESTAT,FS,USNMSNF,Santa Fe National Forest,0310,Santa Fe National Forest,75,,5555,CAPULIN,,,NM3587110583120030623,CAPULIN,,2003,2452813.5,174,1555,1.0,Lightning,2452890.5,251.0,1400,6529.0,G,35.87805556,-105.79861111,5.0,USFS,NM,49,049,Santa Fe,"b'\x00\x01\xad\x10\x00\x00\x04\xeb\xc5q\x1csZ\xc0\xb8""\xe5\x1fd\xf0A@\x04\xeb\xc5q\x1csZ\xc0\xb8""\xe5\x1fd\xf0A@|\x01\x00\x00\x00\x04\xeb\xc5q\x1csZ\xc0\xb8""\xe5\x1fd\xf0A@\xfe'"
